,内科系,一般内科,内科_特殊問診,呼吸器内科,耳鼻咽喉・頭頸部内科,気管食道内科,消化器内科,大腸・肛門内科,循環器内科,神経内科,泌尿器内科,肝・胆・膵内科,腎臓内科,内分泌内科,乳腺内科,糖尿病科,代謝内科,血液内科,腫瘍内科,感染症内科,心療内科,外科系,一般外科,外科_特殊問診,呼吸器外科,耳鼻咽喉・頭頸部外科,気管食道外科,消化器外科,大腸・肛門外科,循環器外科,神経外科,人工臓器・移植外科,泌尿器外科,肝・胆・膵外科,腎臓外科,内分泌外科,乳腺外科,腫瘍外科,感染症外科,アレルギー科,リウマチ科,整形外科,ペインクリニック,形成外科・美容外科,皮膚科,麻酔科,リハビリテーション科,眼科,歯科・口腔顎顔面外科,小児歯科,小児科,小児外科,老年科,産婦人科,精神科,放射線科,漢方・中国医学,予防医学,在宅医療,救急・集中治療科,臨床検査科,病理診断科,緩和ケア科,鍼灸院,分類不可
0,内科,内科,女性内科,呼吸器内科,耳鼻いんこう科,気管食道科,消化器内科,こう門科,循環器内科,神経内科,泌尿器科,肝臓内科,腎臓内科,内分泌内科,乳腺・内分泌内科,糖尿病内科,代謝内科,血液内科,腫瘍内科,感染症内科,心療内科,外科,外科,薬物療法外科,呼吸器外科,耳鼻いんこう科,気管食道科,消化器外科,こう門科,循環器科,脳神経外科,腎臓移植外科,泌尿器科,肝臓外科,人工透析外科,乳腺外科,乳腺外科,腫瘍外科,性病科,アレルギー科,リウマチ科,整形外科,ペインクリニック内科,形成外科,皮膚科,麻酔科,リハビリテーション科,眼科,歯科,小児歯科,小児科,小児外科,老年内科,産婦人科,精神科,放射線科,漢方内科,人間ドック,訪問歯科,救急科,化学療法内科,病理診断科,緩和ケア科,指圧,不明
1,神経内科,総合内科,女性思春期内科,呼吸器科,耳鼻咽喉科,気管食道耳鼻いんこう科,消化器科,肛門内科,循環器科,神経科,女性泌尿器科,消化器・肝臓内科,人工透析内科,糖尿病内分泌内科,乳腺内科,糖尿病内分泌内科,糖尿病・代謝内科,血液・腫瘍内科,血液・腫瘍内科,性病科,老年心療内科,整形外科,一般外科,,呼吸器科,頭頚部外科,気管食道外科,消化器科,肛門外科,循環器外科,心臓血管外科,移植外科,女性泌尿器科,内視鏡外科（胆のう・胃腸科・大腸）,腎臓移植外科,甲状腺外科,大腸肛門乳腺外科,腫瘍整形外科,性感染症外科,内科（呼吸器・循環器・糖尿病・アレルギー疾患）,リウマチ内科,腫瘍整形外科,ペインクリニック外科,小児形成外科,小児皮膚科,麻酔科（出張麻酔）,呼吸器リハビリテーション科,小児眼科,矯正歯科,小歯歯科,児童精神科,小児心臓血管外科,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）,産科,児童精神科,放射線診断科,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）,予防歯科,,小児救急科,臨床検査科,理学診療科,緩和ケア内科,はり,診療内
2,呼吸器内科,一般内科,男性内科,呼吸気内科,気管食道耳鼻いんこう科,気管食道内科,内視鏡内科,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）,心臓血管内科,脳神経内科,泌尿器科（人工透析）,消化器内科（肝胆膵）,腎臓内科（人工透析）,糖尿病・内分泌内科,女性乳腺内科,糖尿病・内分泌内科,糖尿病代謝内科,血液腫瘍内科,血液腫瘍内科,性感染症内科,内科（呼吸器・消化器・心療）,脳神経外科,総合診療科,,胸部外科,頭頸部外科,気管食道耳鼻いんこう科,胃腸科,大腸外科,胸部外科,神経科,腎臓泌尿器科（腎臓臓器移植）,泌尿器科（人工透析）,肝臓外来,外科（人工透析）,内分泌外科,外科（乳腺）,がん化学療法外科,感染症外科,漢方アレルギー疾患皮膚科,アレルギー疾患・リウマチ科,リハビリテーション科（整形）,ペインクリニック科,美容外科,皮膚泌尿器科,麻酔科（ペインクリニック）,心臓リハビリテーション科,眼科（コンタクト）,歯科口腔外科,歯科、小児歯科,小児皮膚科,小児脳神経外科,外科（消化器・末梢血管・肛門・内分泌・老人）,婦人科,老年精神科,放射線治療科,内科（血液・漢方）,内科（人間ドック・成人検査のみ）,,,がん化学療法外科,病理診療科,疼痛緩和内科,,医科
3,循環器内科,内科一般,男性内科（血液）,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）,耳鼻科,気道食道科,胃腸科,肛門科,心臓内科,小児神経内科,肛門科,肝臓・消化器内科,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）,乳腺・内分泌内科,内科（内分泌・乳腺）,糖尿病・代謝内科,糖尿病・脂質代謝内科,小児血液腫瘍内科,小児血液腫瘍内科,感染症呼吸器内科,小児心療内科,呼吸器外科,基本診療科,,呼吸器・乳腺外科,耳鼻咽喉科,食道外科,内視鏡外科,こう門外科,循環器外科（心臓・血管外科）,血管外科,腎臓外科（臓器移植）,肛門科,胆のう外科,腎臓科,外科（消化器・末梢血管・肛門・内分泌・老人）,乳腺・肛門外科,がん,感染症,アレルギー疾患内科,アレルギー膠原病科,ペインクリニック整形外科,ペインクリニック整形外科,美容皮膚科,美容皮膚科,麻酔・ペインクリニック科,リハビリテーション科（小児）,神経眼科,小児歯科,矯正歯科･小児歯科,小児神経科,小児形成外科,高齢者内科,婦人科（生殖医療）,神経精神科,腫瘍放射線科,漢方アレルギー疾患皮膚科,健康診断,,,病理診断・臨床検査科,理学療法科,緩和医療科,,
4,消化器内科,総合診療科,内科（薬物療法）,内科（呼吸器・消化器・心療）,耳鼻咽喉科（補聴器相談室）,食道科,胃腸内科（内視鏡）,肛門科,小児循環器内科,脳神経科,ひ尿器科,膵臓・消化器内科,透析内科,小児内分泌内科,乳腺・胃腸内科,糖尿病代謝内科,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）,内科（血液・漢方）,がん内科,女性性感染症内科,心療内科・精神科,心臓血管外科,外科（一般）,,呼外大腸外科,気管食道耳鼻いんこう科,気道食道科,内視鏡外科（大腸・胃）,内視鏡外科（大腸・胃）,抹消血管外科,老年脳神経外科,泌尿器科（人工透析・腎移植）,ひ尿器科,膵臓外科,腎臓外来,大腸肛門乳腺外科,乳腺・内分泌外科,腫瘍外科（緩和ケア）,性感染症科,小児アレルギー科,リュウマチ科,レントゲン科,ペインクリニック・肛門外科,形成皮膚科,漢方アレルギー疾患皮膚科,眼科・麻酔科,リハビリテーション科（整形）,漢方眼科,小児矯正歯科,,小児科（感染症・アレルギー疾患）,新生児外科,老人内科,産婦人科（産科）,小児精神科,神経放射線科,漢方精神科,予防接種,,,外科（化学療法）,病理診断・臨床検査科,緩和ケア,,他
5,心療内科,漢方外来,思春期内科,内科（循環器・消化器・呼吸器）,耳鼻いんこう科（耳鼻科）,気管内科,胃腸内科,大腸内視鏡科,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）,老年脳神経内科,泌尿器科（腎臓・透析・性感染症）,肝臓・胆のう・膵臓内科,内科（人工透析）,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）,乳腺化学療法内科,糖尿病・脂質代謝内科,脂質代謝内科,消化器・血液内科,がん,感染症・呼吸器内科,小児神経心療内科,小児外科,診療科,,呼吸器・血管外科,耳鼻科,食道科,胃・大腸・肛門外科,胃・大腸・肛門外科,循環器,小児心臓血管外科,腎臓内科（人工透析・腎移植）,泌尿器科（腎臓・透析・性感染症）,胆のう,腎臓外科,腎臓科,呼吸器・乳腺外科,脳腫瘍外科,男性性感染症外科,アレルギー内科,リハビリテーション科リウマチ科,男性整形外科,麻酔科（ペインクリニック）,美容内科,形成皮膚科,麻酔科(ペインクリニック),心臓血管リハビリテーション科,眼科（コンタクト専門）,口腔外科,,小児科（新生児）,小児科外科,内科（高齢者）,産婦人科（婦人科）,精神神経科,放射線治療,漢方･診療内科,,,,内科（化学療法）,理学療法,緩和ケア外科,,外８
6,血液内科,内科（健康相談）,循環器女性内科,内科（消化器・呼吸器・循環器）,漢方耳鼻咽喉科,食道・胃腸内科,内科（消化器）,大腸内視鏡,内科（循環器）,脳・血管内科,神経泌尿器科,胆のう,透析科,糖尿病内分泌科,乳腺心療内科,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）,内分泌・代謝内科,血液・腎臓内科,腫瘍内科（化学療法）,小児感染症内科,内科（消化器・呼吸器・心療内科）,消化器外科,内科.外科,,循呼,耳鼻咽喉科（補聴器相談室）,胃食道外科,外科（消化器）,大腸・肛門外科,循環器外科・心臓血管外科,小児脳神経外科,,神経泌尿器科,肝臓・胆嚢・脾臓外科,腎臓・泌尿器科,外科（乳腺）,乳腺内分泌外科,骨軟部腫瘍外科,,アレルギー疾患・リウマチ科,小児リウマチ科,ペインクリニック・整形外科,ペインクリニック・整形外科,美容皮ふ科,皮膚ひ尿器科,疼,リハビリテーション科リウマチ科,眼科（コンタクトのみ）,一般歯科,,小児精神科,小児・心臓血管外科,高齢者心療内科,不妊治療,児童思春期精神科,がん・乳腺放射線診療科,漢方アレルギー科,,,,腫瘍内科（化学療法）,理学診断,腫瘍外科（緩和ケア）,,理
7,腫瘍内科,基本診療科,女性内科（性感染症）,内科（呼吸器・循環器・糖尿病・アレルギー疾患）,気管食道・耳鼻咽喉科,食道・胃腸・大腸内科（内視鏡）,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）,大腸内視鏡内科,内科（循環器・消化器・呼吸器）,神経科（神経内科）,漢方泌尿器科,膵臓内科,腎臓科,腎臓科,乳腺内科（乳腺科）,糖尿病内分泌科,内科（循環器・糖尿病・内分泌・脂質代謝）,血液腎臓内科,小児腫瘍内科,性病内科,ペインクリニック・心療内科,乳腺外科,外科（健康診断）,,呼吸器・心臓血管外科,耳鼻いんこう科（耳鼻科）,食道胃腸外科,胃腸外科,外科（消化器・末梢血管・肛門・内分泌・老人）,循環器外科（心臓血管外科）,外科（消化器・末梢血管・肛門・内分泌・老人）,,漢方泌尿器科,肝臓・胆のう・膵臓外科,透析外科,乳腺・肛門外科,外科（乳腺・甲状腺）,皮膚腫瘍外科,,呼吸器・アレルギー内科,リウ血液内科,整形,内科（ペインクリニック）,形成美容外科,頭部皮膚科,,リハビリ科,眼科・麻酔科,予防歯科,,小児神経内科,小児整形外科,老年診療科,産婦人科（生殖医療・不妊治療）,心療内科・精神科,乳腺放射線診断科,内科（漢方）,,,,化学療法外科,乳腺病理診断科,腫瘍内科(疼痛緩和),,その他
8,腎臓内科,漢方専門,不妊治療・女性内科,循環器・呼吸器内科,気管食道耳鼻咽喉科,食道内科,内科（呼吸器・消化器・心療）,胃・大腸・消化器内科,内科（消化器・呼吸器・循環器）,神経・内科,性感染症泌尿器科,肝臓胆のう膵臓内科,腎臓科,内分泌・代謝内科,,内科（呼吸器・循環器・糖尿病・アレルギー疾患）,代謝・内分泌内科,男性内科（血液）,腫瘍・血液内科,血液・感染症内科,女性心療内科,甲状腺外科,健診等,,呼吸器外科（内視鏡）,耳鼻咽喉・頭頸部外科,気管食道・耳鼻咽喉科,外科（消化器・末梢血管・肛門・内分泌・老人）,内視鏡外科（胆のう・胃腸科・大腸）,循呼,脳神経科,,性感染症泌尿器科,肝・胆・膵外科,人口透析外科,乳腺・内分泌外科,頸部甲状腺乳腺外科,血液腫瘍外科,,アレルギー膠原病科,リウマチ・膠原病アレルギー外来,小児整形外科,ペインクリニック内科・外科,美容皮膚科（漢方）,皮フ科,,心臓リハビリ科,リウマチ眼科,スポーツ歯科,,新生児内科,小児歯科口腔外科,呼内老年内科,産婦人科（生殖医療）,内科・精神科,放射線診断,漢方婦人科,,,,女性臨床検査科,リハ理学診療科,疼痛緩和外科,,検診科
