,内科系,一般内科,呼吸器内科,耳鼻咽喉・頭頸部内科,気管食道内科,消化器内科,大腸・肛門内科,循環器内科,脳神経内科,脳血管内科,心臓・血管内科,泌尿器内科,肝・胆・膵内科,腎臓内科,内分泌内科,糖尿病科,代謝内科,血液内科,腫瘍内科,感染症内科,心療内科,外科系,一般外科,呼吸器外科,耳鼻咽喉・頭頸部外科,気管食道外科,消化器外科,大腸・肛門外科,循環器外科,脳神経外科,脳血管外科,心臓・血管外科,人工臓器・移植外科,泌尿器外科,肝・胆・膵外科,腎臓外科,内分泌外科,腫瘍外科,アレルギー科,リウマチ科,整形外科,形成外科・美容外科,皮膚科,麻酔科,リハビリテーション科,眼科,歯科・口腔顎顔面外科,小児歯科,小児科,小児外科,老年科,産婦人科,精神科,放射線科,救急・集中治療科,臨床検査科,病理診断科,緩和ケア科,鍼灸院,分類不可
0,脳神経内科,内,呼吸器内科,耳,呼吸気内科,消化器内科,肛,循,脳神経内科,脳,心臓血管内科,泌,肝臓内科,人透,糖尿病内分泌科,糖尿病内科,糖尿病代謝内科,血液内科,腫瘍内科,性,老年心療内科,消化器外科,外,呼外,耳,気管食道外科,消化器外科,肛外,循,脳,脳,心外,腎臓移植外科,泌,外科（肝臓）,外科（人工透析）,乳腺外科,腫瘍外科,アレ,リウ,整,形,皮,麻,リハ,眼,歯,小歯,小,小外,内（消化器　循環器　呼吸器　内分泌　代謝　糖尿病　胃　大腸内視鏡　老人　人工透析　漢方）,産婦,精,放,救急科,臨床検査科,病理診断科,緩和ケア内科,,心内
1,呼吸器内科,漢内,呼内,耳咽,気管食道耳鼻いんこう科,消内,内（消化器　循環器　呼吸器　内分泌　代謝　糖尿病　胃　大腸内視鏡　老人　人工透析　漢方）,循環器内科,脳,脳内,外（消化器　末梢血管　肛門　内分泌　老人）,泌尿器科,肝内,腎臓内科,内（消化器　循環器　呼吸器　内分泌　代謝　糖尿病　胃　大腸内視鏡　老人　人工透析　漢方）,糖尿病内分泌科,内（消化器　循環器　呼吸器　内分泌　代謝　糖尿病　胃　大腸内視鏡　老人　人工透析　漢方）,血液,血液,感染症内科,心療内科,乳腺外科,外科,呼吸器外科,耳咽,気管食道耳鼻いんこう科,消外,肛,循環器外科,脳外,,血管外科,移植外科,泌尿器科,肝臓外科,人工透析外科,乳外,腫,小児科（感染症　アレルギー疾患）,ﾘｳ,ペインクリニック外科,形外,美容皮膚科,ペインクリニック外科,心臓リハビリテーション科,小児眼科,矯歯,小児歯科,児童,小児心臓血管外科,外（消化器　末梢血管　肛門　内分泌　老人）,婦,思春期精神科,放射線診断科,救急,化学療法内,病理,緩和ケア外科,,神
2,消化器内科,内科,呼,頭頸部,気管食道科,消,外（消化器　末梢血管　肛門　内分泌　老人）,循内,神内,脳血管内科,心臓内科,泌尿器科（人工透析）,消化器内科，内視鏡内科，肝臓内科,透内,外（消化器　末梢血管　肛門　内分泌　老人）,糖尿病代謝内科,代謝内科,血液腫瘍内科,腫,小児科（感染症　アレルギー疾患）,小児心療内科,ペインクリニック外科,一般外科,呼,頭頸部外科,気管食道科,消,肛門外科,循環器,脳神経外科,,外（消化器　末梢血管　肛門　内分泌　老人）,腎臓臓器移植,泌尿器科（人工透析）,肝臓外来,腎臓移植外科,外（消化器　末梢血管　肛門　内分泌　老人）,腫瘍整形外科,ｱﾚ,リウマチ科,整外,美容皮膚科,皮泌,ペインクリニック,呼吸器リハビリテーション科,眼科,歯外,歯科，矯正歯科，小児歯科,小歯,小児脳神経外科,老年内科,産,神経精神,放射線治療科,救,化学療法,病理診断,緩和ケ,,
3,循環器内科,人間ドック,内（消化器　循環器　呼吸器　内分泌　代謝　糖尿病　胃　大腸内視鏡　老人　人工透析　漢方）,耳鼻咽喉科,気管食道内科,胃,肛門内科,内（消化器　循環器　呼吸器　内分泌　代謝　糖尿病　胃　大腸内視鏡　老人　人工透析　漢方）,脳内,脳血内,血内,泌(人工透析）,消化器内科（肝胆膵）,人工透析内科,内分泌内科,内（消化器　循環器　呼吸器　内分泌　代謝　糖尿病　胃　大腸内視鏡　老人　人工透析　漢方）,【糖尿病　脂質代謝内科】,小児血液腫瘍内科,血液腫瘍内科,性感染症内科,心内(漢方）,呼吸器外科,総合診療科,呼吸器科,頭頸部,気管食道外,胃,外（消化器　末梢血管　肛門　内分泌　老人）,循環器科,小児脳神経外科,,心臓血管外科,移植,泌(人工透析）,肝臓,透析外科,内分泌外科,がん,ア,ﾘｳﾏﾁ科,ペインクリニック,形成外科,小児皮膚科,ペインクリニック内科,ﾘﾊ,小眼,矯,小歯歯科,児童思春期精神科,小児形成外科,高齢者内科,婦（生殖医療）,神経精神科,放射線診療科,ペインクリニック内科・救急科,臨床検,病診,緩和,,病
4,心臓血管内科,総合内科,呼吸気内科,頭頸,喘息外来,内視鏡内,肛門,小児循環器内科,小児神経内科,脳卒中内科,血管内科,女性泌尿器科,消化器内科（肝・胆・膵）,内（消化器　循環器　呼吸器　内分泌　代謝　糖尿病　胃　大腸内視鏡　老人　人工透析　漢方）,糖尿病内分泌内科,糖尿病内分泌内科,「糖尿病　代謝内科」,「血液　腫瘍内科」,小児血液腫瘍内科,性病科,心療内,頭頸部外科,基本診療科,呼吸,耳鼻咽喉科,食道外科,外（消化器　末梢血管　肛門　内分泌　老人）,大腸外科,循環器外科（心臓・血管外科）,老年脳神経外科,,小児心臓血管外科,腎臓移植泌尿器科,女性泌尿器科,胆の,外来透析,乳腺,腫外,アレルギー疾患内科,膠原病内科,ペインクリニック内科,小児形成外科,皮膚科,ペインクリニック麻酔科,心臓血管リハビリテーション科,眼（コンタクト）,小歯,小児歯,新生児科,小児外科,老精,婦人科（不妊治療　生殖医療）,老年精神科,放射線,内．小．救,臨床検査課,病理診,緩和ケア科,,心
5,緩和ケア内科,一般内科,内科（消化器　循環器　呼吸器）,耳鼻,消化器内科（胃腸・食道）,胃腸内科,大腸,循環器,神経内科,脳・血管内科,心血,ひ尿器科,消化器・肝臓内,腎臓内科（人工透析）,「糖尿病　内分泌内科」,糖尿病,脂質代謝内科,血液透析内科,「血液　腫瘍内科」,感内,小児神経心療内科,腫瘍外科,総合,呼吸器外,頭頸部外,喘息外来,胃腸外科,こう門外科,循環,神経,,心血,移外,ひ尿器科,膵臓,腎臓,甲状腺外科,腫瘍外,小児アレルギー科,リウマチ内科,ペイン内科,美,美皮,ペイン内科,リハビリテーション科,眼科（コンタクト診療所）,矯正,歯.小歯,小児循環器内科,小児歯科・歯科口腔外科,老内,産婦（生殖医療）,児童思春期精神科,放射線診断,整心皮眼リハ麻リウ放救,外科（化学療法）,理,疼痛緩和内科,,気
6,血液内科,漢方外来,内（呼吸器　循環器　糖尿病　アレルギー疾患）,気管食道耳鼻いんこう科,気食,内（消化器　循環器　呼吸器　内分泌　代謝　糖尿病　胃　大腸内視鏡　老人　人工透析　漢方）,こう門科,内（循環器　糖尿病　内分泌　脂質代謝）,老年脳神経内科,,血管内,泌尿器科(人工透析),消化器・肝臓内科,腎内,小児内分泌内科,糖,代謝,消化器内科，糖尿病内科，血液内科,高齢者がん内科,呼吸器内科，消化器内科，感染症内科,心療,外科,内．外,呼吸器・乳腺外科,頭頸,気食,内視鏡外科,【大腸　肛門外科】,循外,神経科,,心血外,臓器移植,泌尿器科(人工透析),肝外,腎臓外来,外科（乳腺）,乳腺腫瘍外科,内（呼吸器　循環器　糖尿病　アレルギー疾患）,リウマチ,腫瘍整形外科,美皮,頭部皮膚科,ペインクリ,ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,神経眼科,口外,歯．小歯,小児神経内科,歯科，矯正歯科，小児歯科，歯科口腔外科,循環器内科，消化器内科，消化器外科，呼吸器内科，理学療法科，糖尿病内科，老人内科,婦人科,精神神経科,腫瘍放射線科,小眼精形放リハ呼麻循消救,化学療法外科,理学診療科,緩和医療内科,,
7,腎臓内科,総合診療科,内科（呼吸器　消化器　糖尿病）,耳鼻科,気管耳（気管呼吸器　耳鼻咽喉科）,外（消化器　末梢血管　肛門　内分泌　老人）,肛門科,内科（循環器）,神経,,心臓血,ひ,肝臓・消化器内科,人工透析,「糖尿病内分泌,「糖尿病　内分泌内科」,内（糖尿病代謝　消化器）,男性内科（血液）,がん内科,性感染症泌尿器科,がん心療内,血管外科,女性,呼吸器,耳鼻,気管耳（気管呼吸器　耳鼻咽喉科）,「胃　大腸　肛門外科」,「胃　大腸　肛門外科」,内．外．心内．呼内．循内．神内．消内,脳神経科,,血管外,移外(腎),ひ,膵外,腎,腎臓,腫瘍,アレルギー科,り,ペインクリ,美容内科,皮膚ひ尿器科,麻酔,疼痛,眼（メ）,小児矯正歯科,矯．小歯,新生児内科,小児整形外科,乳腺外科，消化器内科，肛門外科，老年内科，漢方内科,産科,精神神経,放射線科,心救,内科（化学療法）,理学療法科,緩内,,口
8,糖尿病内科,基本診療科,内科（消化器　呼吸器　循環器）,耳鼻いんこう科,気管食道,内視鏡内科,大腸内科,内科（消化器　循環器　呼吸器）,神経科,,循環器内科，心臓内科,泌尿器科（生殖医療）,肝臓内,腎臓内科（透析）,「乳腺　内分泌内科」,【糖尿病　脂質代謝内科】,内（循環器　糖尿病　内分泌　脂質代謝）,血液・腎臓内科,腫内,女性性感染症内科,ペインクリニック・心療内科,循環器外科,外．内,胸外,頭頚部外科,気外,内視鏡外科（大腸　胃）,内視鏡外科（大腸　胃）,内．外．循内．小,脳神,,血外,移,泌尿器科（生殖医療）,胆外,腎外,甲外,がん化学療法外,アレルギー性疾患皮膚科,リウマチ・膠原病科,ﾍﾟｲﾝｸﾘﾆｯｸ内科,美外,アレルギー性疾患皮膚科,ﾍﾟｲﾝｸﾘﾆｯｸ内科,リハビリテ,眼科（水AM）,歯科口腔外科,歯科 小児歯科,小児内分泌内科,小児歯科口腔外科,老年内科，消化器内科,産婦人科,腫瘍精神科,腫放,外整脳形精泌眼耳放救,臨床検査,臨検,緩医内,,休止中
