,内科系,一般内科,呼吸器内科,気管食道内科,耳鼻咽喉・頭頸部内科,消化器内科,循環器内科,腎臓・内分泌内科,糖尿病・代謝内科,血液・腫瘍内科,脳神経内科,脳血管内科,心臓・血管内科,アレルギー科,リウマチ科,感染症内科,泌尿器内科,老年科,心療内科,肝・胆・膵内科,大腸・肛門内科,外科系,一般外科,呼吸器外科,気管食道外科,消化器外科,循環器外科,大腸・肛門外科,肝・胆・膵外科,血液・腫瘍外科,心臓・血管外科,人工臓器・移植外科,脳神経外科,脳血管外科,腎臓・内分泌外科,泌尿器外科,整形外科,形成外科・美容外科,麻酔科,皮膚科,眼科,耳鼻咽喉・頭頸部外科,リハビリテーション科,歯科・口腔顎顔面外科,小児歯科,小児科,小児外科,産婦人科,精神科,放射線科,救急・集中治療科,臨床検査科,病理診断科,緩和ケア科,鍼灸院,分類不可
0,脳神経内科,内,呼吸器内科,呼吸気内科,耳,消化器内科,循,人透,糖尿病内科,血液内科,脳神経内科,脳,心臓血管内科,アレ,リウ,性,泌,内（消化器　循環器　呼吸器　内分泌　代謝　糖尿病　胃　大腸内視鏡　老人　人工透析　漢方）,老年心療内科,肝臓内科,肛,消化器外科,外,呼外,気管食道外科,消化器外科,循,肛外,外科（肝臓）,腫瘍外科,心外,腎臓移植外科,脳,脳,乳腺外科,泌,整,形,麻,皮,眼,耳,リハ,歯,小歯,小,小外,産婦,精,放,救急科,臨床検査科,病理診断科,緩和ケア内科,,心内
1,呼吸器内科,漢内,呼内,気管食道耳鼻いんこう科,耳咽,消内,循環器内科,腎臓内科,糖尿病内分泌科,腫瘍内科,脳,脳内,外（消化器　末梢血管　肛門　内分泌　老人）,小児科（感染症　アレルギー疾患）,ﾘｳ,感染症内科,泌尿器科,外（消化器　末梢血管　肛門　内分泌　老人）,心療内科,肝内,内（消化器　循環器　呼吸器　内分泌　代謝　糖尿病　胃　大腸内視鏡　老人　人工透析　漢方）,乳腺外科,外科,呼吸器外科,気管食道耳鼻いんこう科,消外,循環器外科,肛,肝臓外科,腫,血管外科,移植外科,脳外,,乳外,泌尿器科,ペインクリニック外科,形外,ペインクリニック外科,美容皮膚科,小児眼科,耳咽,心臓リハビリテーション科,矯歯,小児歯科,児童,小児心臓血管外科,婦,思春期精神科,放射線診断科,救急,化学療法内,病理,緩和ケア外科,,神
2,消化器内科,内科,呼,気管食道科,頭頸部,消,循内,透内,糖尿病代謝内科,血液,神内,脳血管内科,心臓内科,ｱﾚ,リウマチ科,小児科（感染症　アレルギー疾患）,泌尿器科（人工透析）,老年内科,小児心療内科,消化器内科，内視鏡内科，肝臓内科,外（消化器　末梢血管　肛門　内分泌　老人）,ペインクリニック外科,一般外科,呼,気管食道科,消,循環器,肛門外科,肝臓外来,腫瘍整形外科,外（消化器　末梢血管　肛門　内分泌　老人）,腎臓臓器移植,脳神経外科,,外（消化器　末梢血管　肛門　内分泌　老人）,泌尿器科（人工透析）,整外,美容皮膚科,ペインクリニック,皮泌,眼科,頭頸部外科,呼吸器リハビリテーション科,歯外,歯科，矯正歯科，小児歯科,小歯,小児脳神経外科,産,神経精神,放射線治療科,救,化学療法,病理診断,緩和ケ,,
3,循環器内科,人間ドック,内（消化器　循環器　呼吸器　内分泌　代謝　糖尿病　胃　大腸内視鏡　老人　人工透析　漢方）,気管食道内科,耳鼻咽喉科,胃,内（消化器　循環器　呼吸器　内分泌　代謝　糖尿病　胃　大腸内視鏡　老人　人工透析　漢方）,人工透析内科,内（消化器　循環器　呼吸器　内分泌　代謝　糖尿病　胃　大腸内視鏡　老人　人工透析　漢方）,腫,脳内,脳血内,血内,ア,ﾘｳﾏﾁ科,性感染症内科,泌(人工透析）,高齢者内科,心内(漢方）,消化器内科（肝胆膵）,肛門内科,呼吸器外科,総合診療科,呼吸器科,気管食道外,胃,循環器科,外（消化器　末梢血管　肛門　内分泌　老人）,肝臓,がん,心臓血管外科,移植,小児脳神経外科,,外科（人工透析）,泌(人工透析）,ペインクリニック,形成外科,ペインクリニック内科,小児皮膚科,小眼,頭頸部,ﾘﾊ,矯,小歯歯科,児童思春期精神科,小児形成外科,婦（生殖医療）,神経精神科,放射線診療科,ペインクリニック内科・救急科,臨床検,病診,緩和,,病
4,心臓血管内科,総合内科,呼吸気内科,喘息外来,頭頸,内視鏡内,小児循環器内科,糖尿病内分泌科,糖尿病内分泌内科,血液腫瘍内科,小児神経内科,脳卒中内科,血管内科,アレルギー疾患内科,膠原病内科,性病科,女性泌尿器科,老精,心療内,消化器内科（肝・胆・膵）,肛門,頭頸部外科,基本診療科,呼吸,食道外科,外（消化器　末梢血管　肛門　内分泌　老人）,心血,大腸外科,胆の,腫外,小児心臓血管外科,腎臓移植泌尿器科,老年脳神経外科,,人工透析外科,女性泌尿器科,ペインクリニック内科,小児形成外科,ペインクリニック麻酔科,皮膚科,眼（コンタクト）,耳鼻咽喉科,心臓血管リハビリテーション科,小歯,小児歯,新生児科,小児外科,婦人科（不妊治療　生殖医療）,老年精神科,放射線,内．小．救,臨床検査課,病理診,緩和ケア科,,心
5,緩和ケア内科,一般内科,内科（消化器　循環器　呼吸器）,消化器内科（胃腸・食道）,耳鼻,胃腸内科,循環器,内（消化器　循環器　呼吸器　内分泌　代謝　糖尿病　胃　大腸内視鏡　老人　人工透析　漢方）,糖尿病,小児血液腫瘍内科,神経内科,脳・血管内科,血管内,小児アレルギー科,リウマチ内科,感内,ひ尿器科,老内,小児神経心療内科,消化器・肝臓内,大腸,腫瘍外科,総合,呼吸器外,喘息外来,胃腸外科,心臓血,こう門外科,膵臓,腫瘍外,心血外,移外,神経,,腎臓移植外科,ひ尿器科,ペイン内科,美,ペイン内科,美皮,眼科（コンタクト診療所）,頭頸部外,リハビリテーション科,矯正,歯.小歯,小児循環器内科,小児歯科・歯科口腔外科,産婦（生殖医療）,児童思春期精神科,放射線診断,整心皮眼リハ麻リウ放救,外科（化学療法）,理,疼痛緩和内科,,気
6,血液内科,漢方外来,内（呼吸器　循環器　糖尿病　アレルギー疾患）,気食,気管食道耳鼻いんこう科,内（消化器　循環器　呼吸器　内分泌　代謝　糖尿病　胃　大腸内視鏡　老人　人工透析　漢方）,内（循環器　糖尿病　内分泌　脂質代謝）,外（消化器　末梢血管　肛門　内分泌　老人）,代謝内科,「血液　腫瘍内科」,老年脳神経内科,,循環器内科，心臓内科,内（呼吸器　循環器　糖尿病　アレルギー疾患）,リウマチ,呼吸器内科，消化器内科，感染症内科,泌尿器科(人工透析),循環器内科，消化器内科，消化器外科，呼吸器内科，理学療法科，糖尿病内科，老人内科,心療,消化器・肝臓内科,こう門科,外科,内．外,呼吸器・乳腺外科,気食,内視鏡外科,循環器外科（心臓・血管外科）,【大腸　肛門外科】,肝外,乳腺腫瘍外科,血管外,臓器移植,神経科,,内分泌外科,泌尿器科(人工透析),腫瘍整形外科,美皮,ペインクリ,頭部皮膚科,神経眼科,頭頸,ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,口外,歯．小歯,小児神経内科,歯科，矯正歯科，小児歯科，歯科口腔外科,婦人科,精神神経科,腫瘍放射線科,小眼精形放リハ呼麻循消救,化学療法外科,理学診療科,緩和医療内科,,
7,腎臓内科,総合診療科,内科（呼吸器　消化器　糖尿病）,気管耳（気管呼吸器　耳鼻咽喉科）,耳鼻科,外（消化器　末梢血管　肛門　内分泌　老人）,内科（循環器）,内分泌内科,糖,高齢者がん内科,神経,,心臓・循環器内科，呼吸器内科,アレルギー科,り,性感染症泌尿器科,ひ,乳腺外科，消化器内科，肛門外科，老年内科，漢方内科,がん心療内,肝臓・消化器内科,肛門科,血管外科,女性,呼吸器,気管耳（気管呼吸器　耳鼻咽喉科）,「胃　大腸　肛門外科」,心臓,「胃　大腸　肛門外科」,膵外,腫瘍,血外,移外(腎),脳神経科,,乳腺,ひ,ペインクリ,美容内科,麻酔,皮膚ひ尿器科,眼（メ）,耳鼻,疼痛,小児矯正歯科,矯．小歯,新生児内科,小児整形外科,産科,精神神経,放射線科,心救,内科（化学療法）,理学療法科,緩内,,口
8,糖尿病内科,基本診療科,内科（消化器　呼吸器　循環器）,気管食道,耳鼻いんこう科,内視鏡内科,内科（消化器　循環器　呼吸器）,糖尿病内分泌内科,「糖尿病　内分泌内科」,がん内科,神経科,,心臓内,アレルギー性疾患皮膚科,リウマチ・膠原病科,女性性感染症内科,泌尿器科（生殖医療）,老年内科，消化器内科,ペインクリニック・心療内科,肝臓内,大腸内科,循環器外科,外．内,胸外,気外,内視鏡外科（大腸　胃）,循環,内視鏡外科（大腸　胃）,胆外,がん化学療法外,血管外科、美容皮膚科,移,脳神,,甲状腺外科,泌尿器科（生殖医療）,ﾍﾟｲﾝｸﾘﾆｯｸ内科,美外,ﾍﾟｲﾝｸﾘﾆｯｸ内科,アレルギー性疾患皮膚科,眼科（水AM）,頭頚部外科,リハビリテ,歯科口腔外科,歯科 小児歯科,小児内分泌内科,小児歯科口腔外科,産婦人科,腫瘍精神科,腫放,外整脳形精泌眼耳放救,臨床検査,臨検,緩医内,,休止中
