,0
0,内科
1,神経内科
2,小児科
3,外科
4,整形外科
5,脳神経外科
6,呼吸器外科
7,心臓血管外科
8,小児外科
9,泌尿器科
10,産婦人科
11,眼科
12,リハビリテーション科
13,放射線科
14,麻酔科
15,呼吸器内科
16,循環器内科
17,消化器内科
18,消化器外科
19,乳腺外科
20,甲状腺外科
21,病理診断科
22,緩和ケア科
23,精神科
24,形成外科
25,皮膚科
26,耳鼻いんこう科
27,歯科
28,矯正歯科
29,歯科口腔外科
30,リウマチ科
31,消化器科
32,心療内科
33,腫瘍外科
34,血液内科
35,腫瘍内科
36,呼吸器科
37,循環器科
38,こう門科
39,肛門外科
40,腎臓内科
41,糖尿病内科
42,代謝内科
43,緩和ケア内科
44,内視鏡内科
45,老年内科
46,呼吸器リハビリテーション科
47,児童精神科
48,老年精神科
49,大腸外科
50,小児皮膚科
51,内分泌内科
52,神経科
53,胃腸科
54,アレルギー科
55,産科
56,婦人科
57,脳神経内科
58,こう門外科
59,小児歯科
60,人工透析内科
61,小児神経科
62,心臓血管内科
63,糖尿病内分泌内科
64,内視鏡外科
65,頭頚部外科
66,血管外科
67,糖尿病・内分泌内科
68,化学療法内科
69,糖尿病・代謝内科
70,血液・腫瘍内科
71,胃腸内科（内視鏡）
72,ペインクリニック内科
73,内視鏡外科（大腸・胃）
74,内分泌外科
75,救急科
76,放射線診断科
77,胃腸内科
78,循環器外科
79,乳腺・内分泌内科
80,呼吸気内科
81,神経精神科
82,人工透析外科
83,気管食道科
84,小児科（感染症・アレルギー疾患）
85,ペインクリニック外科
86,心臓内科
87,腎臓内科（人工透析）
88,老年脳神経外科
89,放射線治療科
90,胃・大腸・肛門外科
91,糖尿病代謝内科
92,腎臓移植外科
93,頭頸部外科
94,気管食道外科
95,腫瘍整形外科
96,胸部外科
97,小児科（新生児）
98,小児精神科
99,漢方内科
100,肝臓内科
101,肝臓外科
102,心臓リハビリテーション科
103,内科（消化器）
104,外科（消化器）
105,大腸・肛門外科
106,老年心療内科
107,糖尿病・脂質代謝内科
108,血液腫瘍内科
109,小児神経内科
110,新生児内科
111,小児内分泌内科
112,小児血液腫瘍内科
113,小児循環器内科
114,小児心臓血管外科
115,小児脳神経外科
116,小児形成外科
117,小児眼科
118,小児耳鼻咽喉科
119,小児泌尿器科
120,リハビリテーション科（小児）
121,リハビリテーション科（整形）
122,皮膚泌尿器科
123,精神神経科
124,新生児科
125,児童思春期精神科
126,臨床検査科
127,胃腸外科
128,総合内科
129,感染症内科
130,肛門内科
131,性病科
132,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）
133,外科（消化器・末梢血管・肛門・内分泌・老人）
134,内視鏡外科（胆のう・胃腸科・大腸）
135,がん化学療法外科
136,消化器外科（内視鏡）
137,美容外科
138,耳鼻咽喉科
139,ペインクリニック科
140,脳神経科
141,心血管内科
142,糖尿病内分泌科
143,透析内科
144,疼痛緩和内科
145,内科（人工透析）
146,内科（循環器）
147,外科（人工透析）
148,内科（呼吸器・消化器・心療）
149,性感染症内科
150,性感染症外科
151,脂質代謝内科
152,透析科
153,大腸肛門乳腺外科
154,消化器内科（内視鏡）
155,美容皮膚科
156,不明
157,内科（循環器・消化器・呼吸器）
158,腎臓科
159,女性泌尿器科
160,がん内科
161,腫瘍放射線科
162,老年脳神経内科
163,内科（血液・漢方）
164,内科（消化器・呼吸器・循環器）
165,内科（呼吸器・循環器・糖尿病・アレルギー疾患）
166,心臓血管リハビリテーション科
167,糖尿病・胃腸内科
168,内分泌・代謝内科
169,泌尿器科（人工透析）
170,小児内科
171,小児心療内科
172,内科（腎臓）
173,内科（内分泌）
174,外科（乳腺）
175,外科（肛門）
176,内科（循環器・糖尿病・内分泌・脂質代謝）
177,ペインクリニック整形外科
178,代謝・内分泌内科
179,理学診療科
180,小児耳鼻科
181,内科（糖尿病代謝・消化器）
182,気管食道耳鼻いんこう科
183,腎臓内科（透析）
184,消火器内科
185,肛門科
186,小児矯正歯科
187,心臓外科
188,循環器・呼吸器内科
189,病理診療科
190,診療内
191,心臓・血管外科
192,消化器・血液内科
193,消化器・肝臓内科
194,漢方アレルギー疾患皮膚科
195,脳・血管内科
196,レントゲン科
197,形成皮膚科
198,心療内科・精神科
199,理学療法科
200,血液透析内科
201,神経放射線科
202,口腔外科
203,ひ尿器科
204,皮膚ひ尿器科
205,耳鼻科
206,人間ドック
207,脳外科
208,乳腺・肛門外科
209,泌尿器科（腎臓・透析・性感染症）
210,消化器内科(内視鏡)
211,医科
212,一般内科
213,内科・精神科
214,一般外科
215,内科一般
216,一般歯科
217,予防歯科
218,スポーツ歯科
219,総合診療科
220,緩和医療科
221,婦人科（生殖医療）
222,腎臓・内分泌内科
223,病理診断・臨床検査科
224,気管食道内科
225,神経小児科
226,リウマチ内科
227,感染症呼吸器内科
228,内科（呼吸器・循環器・消化器・糖尿病・代謝）
229,女性内科
230,人工透析科
231,ペインクリニック・肛門外科
232,歯科口腔科
233,消化器･循環器内科
234,高齢者内科
235,アレルギー疾患内科
236,漢方精神科
237,漢方･診療内科
238,美容内科
239,大腸肛門外科
240,老人内科
241,糖尿病・内分泌科
242,頭部皮膚科
243,乳腺・内分泌外科
244,糖尿病･代謝内科
245,心臓・循環器内科
246,神経泌尿器科
247,内科（循環器・消化器）
248,血液・腎臓内科
249,外科（化学療法）
250,食道外科
251,消化器内科（胃腸内科）
252,消化器外科（胃腸外科）
253,耳鼻咽喉科（補聴器相談室）
254,糖尿病内科（代謝内科）
255,呼吸器・乳腺外科
256,産婦人科（産科）
257,産婦人科（婦人科）
258,消化器内科（肝胆膵）
259,消化器内科（消化管）
260,肝臓外来
261,腎臓外来
262,喘息外来
263,血液腎臓内科
264,循環器外科（心臓・血管外科）
265,消化器・糖尿病内科
266,女性思春期内科
267,女性性感染症内科
268,皮フ科
269,小児循環器科
270,不妊治療
271,漢方泌尿器科
272,性感染症泌尿器科
273,老年泌尿器科
274,がん
275,内科胃腸科
276,男性呼吸器内科
277,男性整形外科
278,男性内科
279,男性内科（血液）
280,漢方外来
281,麻酔科（出張麻酔）
282,消化器内科（胃腸・内視鏡内科）
283,産婦人科（生殖医療・不妊治療）
284,消化器内視鏡内科
285,産婦人科（生殖医療）
286,内科（健康相談）
287,基本診療科
288,胃腸科内科
289,小児耳鼻いんこう科
290,小児アレルギー科
291,感染症・呼吸器内科
292,小児内分泌科
293,小歯歯科
294,脳神経外科（脳外科）
295,耳鼻いんこう科（耳鼻科）
296,消化器科（胃腸科）
