"","","","","","","","","","/年次_0072 コード","1","2","3"
"","","","","","","","","","/年次_0072 補助コード","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","調査年2 コード","調査年2 補助コード","調査年2","診療科目_009 コード","診療科目_009 補助コード","診療科目_009","/年次_0072","平成21年-2009","22年('10)実数","22年('10)施設数に対する割合【％】"
"17","","一般病院数（重複計上）","2","","平成２２年","1","","一般病院","","7655","7587","100"
"17","","一般病院数（重複計上）","2","","平成２２年","2","","内科","","7034","6972","91.9"
"17","","一般病院数（重複計上）","2","","平成２２年","3","","呼吸器内科","","2480","2511","33.1"
"17","","一般病院数（重複計上）","2","","平成２２年","4","","循環器内科","","3647","3681","48.5"
"17","","一般病院数（重複計上）","2","","平成２２年","5","","消化器内科（胃腸内科）","","3565","3619","47.7"
"17","","一般病院数（重複計上）","2","","平成２２年","6","","腎臓内科","","440","549","7.2"
"17","","一般病院数（重複計上）","2","","平成２２年","7","","神経内科","","2134","2174","28.7"
"17","","一般病院数（重複計上）","2","","平成２２年","8","","糖尿病内科（代謝内科）","","558","647","8.5"
"17","","一般病院数（重複計上）","2","","平成２２年","9","","血液内科","","235","280","3.7"
"17","","一般病院数（重複計上）","2","","平成２２年","10","","皮膚科","","2972","2975","39.2"
"17","","一般病院数（重複計上）","2","","平成２２年","11","","アレルギー科","","444","434","5.7"
"17","","一般病院数（重複計上）","2","","平成２２年","12","","リウマチ科","","1085","1115","14.7"
"17","","一般病院数（重複計上）","2","","平成２２年","13","","感染症内科","","62","70","0.9"
"17","","一般病院数（重複計上）","2","","平成２２年","14","","小児科","","2853","2808","37"
"17","","一般病院数（重複計上）","2","","平成２２年","15","","精神科","","1563","1585","20.9"
"17","","一般病院数（重複計上）","2","","平成２２年","16","","心療内科","","598","602","7.9"
"17","","一般病院数（重複計上）","2","","平成２２年","17","","外科","","4931","4883","64.4"
"17","","一般病院数（重複計上）","2","","平成２２年","18","","呼吸器外科","","705","741","9.8"
"17","","一般病院数（重複計上）","2","","平成２２年","19","","心臓血管外科","","912","938","12.4"
"17","","一般病院数（重複計上）","2","","平成２２年","20","","乳腺外科","","321","399","5.3"
"17","","一般病院数（重複計上）","2","","平成２２年","21","","気管食道外科","","89","94","1.2"
"17","","一般病院数（重複計上）","2","","平成２２年","22","","消化器外科（胃腸外科）","","1008","1078","14.2"
"17","","一般病院数（重複計上）","2","","平成２２年","23","","泌尿器科","","2786","2781","36.7"
"17","","一般病院数（重複計上）","2","","平成２２年","24","","肛門外科","","1206","1205","15.9"
"17","","一般病院数（重複計上）","2","","平成２２年","25","","脳神経外科","","2482","2490","32.8"
"17","","一般病院数（重複計上）","2","","平成２２年","26","","整形外科","","5041","4999","65.9"
"17","","一般病院数（重複計上）","2","","平成２２年","27","","形成外科","","1121","1127","14.9"
"17","","一般病院数（重複計上）","2","","平成２２年","28","","美容外科","","114","120","1.6"
"17","","一般病院数（重複計上）","2","","平成２２年","29","","眼科","","2487","2478","32.7"
"17","","一般病院数（重複計上）","2","","平成２２年","30","","耳鼻いんこう科","","2007","2000","26.4"
"17","","一般病院数（重複計上）","2","","平成２２年","31","","小児外科","","332","338","4.5"
"17","","一般病院数（重複計上）","2","","平成２２年","32","","産婦人科","","1294","1252","16.5"
"17","","一般病院数（重複計上）","2","","平成２２年","33","","産科","","180","180","2.4"
"17","","一般病院数（重複計上）","2","","平成２２年","34","","婦人科","","748","762","10"
"17","","一般病院数（重複計上）","2","","平成２２年","35","","リハビリテーション科","","4998","5045","66.5"
"17","","一般病院数（重複計上）","2","","平成２２年","36","","放射線科","","3338","3355","44.2"
"17","","一般病院数（重複計上）","2","","平成２２年","37","","麻酔科","","2546","2597","34.2"
"17","","一般病院数（重複計上）","2","","平成２２年","38","","病理診断科","","226","272","3.6"
"17","","一般病院数（重複計上）","2","","平成２２年","39","","臨床検査科","","116","134","1.8"
"17","","一般病院数（重複計上）","2","","平成２２年","40","","救急科","","247","288","3.8"
"17","","一般病院数（重複計上）","2","","平成２２年","41","","歯科","","1094","1084","14.3"
"17","","一般病院数（重複計上）","2","","平成２２年","42","","矯正歯科","","133","138","1.8"
"17","","一般病院数（重複計上）","2","","平成２２年","43","","小児歯科","","129","136","1.8"
"17","","一般病院数（重複計上）","2","","平成２２年","44","","歯科口腔外科","","816","829","10.9"
