,0
0,内
1,リハ
2,精
3,心内
4,小
5,外
6,整
7,産婦
8,耳
9,皮
10,脳神経内科
11,循
12,眼
13,泌
14,放
15,麻
16,神
17,呼吸器内科
18,消化器内科
19,消化器外科
20,循環器内科
21,脳
22,心外
23,神内
24,乳腺外科
25,形
26,リウ
27,
28,呼外
29,ペインクリニック外科
30,歯
31,矯歯
32,歯外
33,病理診断科
34,呼吸器外科
35,心臓血管内科
36,アレ
37,病理
38,婦
39,緩和ケア内科
40,循内
41,消外
42,肛外
43,消内
44,整外
45,脳外
46,耳咽
47,呼内
48,人透
49,消
50,胃
51,児童
52,思春期精神科
53,形外
54,救急科
55,血液内科
56,呼
57,腎臓内科
58,救急
59,糖尿病内科
60,腫瘍内科
61,透内
62,乳外
63,矯
64,小歯
65,内視鏡内
66,肝臓内科
67,放射線診断科
68,放射線治療科
69,頭頸部外科
70,腫瘍外科
71,病理診断
72,胃腸内科
73,外科
74,産
75,血管外科
76,神経精神
77,小外
78,循環器外科
79,人工透析内科
80,糖尿病内分泌科
81,脳神経外科
82,肛
83,神経精神科
84,頭頸部
85,耳鼻咽喉科
86,ペインクリニック
87,病
88,肛門外科
89,血液
90,糖尿病代謝内科
91,内（消化器　循環器　呼吸器　内分泌　代謝　糖尿病　胃　大腸内視鏡　老人　人工透析　漢方）
92,外（消化器　末梢血管　肛門　内分泌　老人）
93,性
94,ペインクリニック内科
95,肛門内科
96,内分泌内科
97,感染症内科
98,大腸外科
99,美容皮膚科
100,緩和ケア外科
101,胃腸外科
102,内視鏡内科
103,内視鏡外科
104,糖尿病内分泌内科
105,糖尿病
106,代謝内科
107,臨床検査科
108,泌尿器科
109,放射線診療科
110,腫
111,漢方内科
112,老年精神科
113,児童思春期精神科
114,脳内
115,血液腫瘍内科
116,糖
117,新生児科
118,形成外科
119,老年内科
120,緩和ケ
121,精神神経科
122,精神神経
123,病診
124,皮泌
125,腫瘍精神科
126,放射線
127,こう門外科
128,心臓血管外科
129,外科（人工透析）
130,小児循環器内科
131,ペインクリニック麻酔科
132,外科（肝臓）
133,「糖尿病　内分泌内科」
134,頭頸部外
135,小児神経内科
136,新生児内科
137,小児内分泌内科
138,小児血液腫瘍内科
139,小児心臓血管外科
140,小児脳神経外科
141,小児形成外科
142,小児眼科
143,小児耳鼻咽喉科
144,小児泌尿
145,腎臓内科（人工透析）
146,腎内
147,頭頸
148,心
149,救
150,【糖尿病　脂質代謝内科】
151,児童精神科
152,老年心療内科
153,ペイン内科
154,肝臓外科
155,心臓リハビリテーション科
156,小児外科
157,病理診
158,小(新生児)
159,「糖尿病　代謝内科」
160,心臓内科
161,人工透析外科
162,胸部外科
163,【大腸　肛門外科】
164,血内
165,腫瘍整形外科
166,気管食道外科
167,腎臓移植外科
168,「胃　大腸　肛門外科」
169,内分泌外科
170,「糖尿病内分泌
171,老年脳神経外科
172,ペインクリ
173,小児科（感染症　アレルギー疾患）
174,気
175,放射線診断
176,呼吸気内科
177,「乳腺　内分泌内科」
178,漢内
179,内分泌
180,内視鏡外科（大腸　胃）
181,胃内
182,麻酔
183,糖内
184,胃腸内科（内視鏡）
185,「血液　腫瘍内科」
186,糖尿病内分泌
187,乳腺
188,泌尿器科（人工透析）
189,婦（生殖医療）
190,化学療法内
191,神経内科
192,緩和
193,小児皮膚科
194,呼吸器リハビリテーション科
195,甲状腺外科
196,緩和ケア科
197,矯正
198,口外
199,小児矯正歯科
200,歯科口腔外科
201,矯葉
202,老年歯科
203,美
204,小児精神科
205,循環器
206,内科
207,性感染症内科
208,人工透析
209,皮膚科
210,肛門
211,耳鼻
212,頭頚部外科
213,糖尿病科内
214,消化器科内科
215,児精
216,ﾘﾊ
217,ｱﾚ
218,眼科
219,腎臓内科（透析）
220,ﾘｳ
221,ア
222,消化器内科（内視鏡）
223,脂質代謝内科
224,小児科
225,代謝
226,甲状腺内科
227,気管食道耳鼻いんこう科
228,ﾍﾟｲﾝｸﾘﾆｯｸ内科
229,消化器
230,内（糖尿病代謝　消化器）
231,心療内科
232,小児心療内科
233,美皮
234,小児耳鼻科
235,理
236,アレルギー疾患内科
237,小児耳鼻いんこう科
238,神精
239,腎蔵内科(人工透析)
240,None
241,透析内科
242,透析外科
243,泌(人工透析）
244,人工透析内
245,精神科
246,外来透析
247,精神
248,内（循環器　糖尿病　内分泌　脂質代謝）
249,内科（腎臓）
250,内科（内分泌）
251,内科（循環器）
252,内科（消化器）
253,外科（乳腺）
254,外科（肛門）
255,小児アレルギー科
256,内科（消化器　循環器　呼吸器）
257,心臓血管リハビリテーション科
258,内（呼吸器　循環器　糖尿病　アレルギー疾患）
259,口
260,小耳咽喉
261,内科（呼吸器　消化器　糖尿病）
262,内科（消化器　呼吸器　循環器）
263,老年脳神経内科
264,小耳
265,女性肛門外科
266,婦人科（不妊治療　生殖医療）
267,腫瘍放射線科
268,高齢者内科
269,高齢者がん内科
270,内科（人工透析）
271,頭部皮膚科
272,がん内科
273,肝内
274,小児内分泌科
275,産婦（生殖医療）
276,美容内科
277,脳内科
278,糖尿病小児科
279,精神腫瘍科
280,化学療法
281,整形外科
282,腎臓
283,女性泌尿器科
284,神経
285,内（循環器　消化器　呼吸器）
286,美外
287,休止中
288,ﾍﾟｲﾝｸﾘﾆｯｸ外科
289,心内(漢方）
290,腎臓内科(人工透析）
291,透析科
292,小児科（新生児）
293,性感染症外科
294,大腸
295,女性内科
296,ペ外
297,疼痛緩和内科
298,リハビリテーション科
299,呼吸器科
300,放射線科
301,消化器科
302,婦人科
303,歯科
304,神経科
305,美容外科
306,リウマチ科
307,胃腸科
308,循環器科
309,ひ尿器科
310,理学診療科
311,アレルギー科
312,産科
313,こう門科
314,産婦人科
315,肛門科
316,緩和医療内科
317,皮膚ひ尿器科
318,気管食道科
319,麻酔科
320,耳鼻科
321,消火器内科
322,人間ドック
323,耳鼻いんこう科
324,総合内科
325,アレルギー性疾患皮膚科
326,ｱﾚﾙｷﾞｰ科
327,気管食道内科
328,皮膚泌尿器科
329,血液透析内科
330,性病科
331,ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科
332,ﾘｳﾏﾁ科
333,脳神経科
334,血管内科
335,理学療法科
336,(主)内科
337,(従)糖尿病内科
338,泌尿器科(人工透析)
339,循環期内科
340,皮ふ科
341,小児歯科
342,矯正歯科
343,口腔外科
344,一般歯科
345,ひ
346,歯口
347,内分内
348,緩内
349,耳い
350,腫放
351,臨検
352,心血
353,心血外
354,放腫
355,甲外
356,老精
357,心療内
358,脳神内
359,血管外
360,血外
361,緩医内
362,代内
363,感内
364,腫内
365,糖内分内
366,内視内
367,放診
368,老内
369,緩和ｹｱ内
370,血管内
371,糖代
372,形成
373,糖尿内
374,臨床検
375,疼痛
376,消化器内科（胃腸内科）
377,糖尿病内科（代謝内科）
378,消化器外科（胃腸外科）
379,気管食道外
380,リハビリテ
381,リハビリテーシ
382,耳鼻い
383,耳鼻いんこ
384,耳鼻いんこう
385,整形外
386,心臓血
387,呼吸器内科、腎臓内科
388,泌尿器科（生殖医療）
389,血管外科、美容皮膚科
390,頭部皮膚科，美容皮膚科
391,胃腸内科，肛門外科
392,美容内科、美容皮膚科
393,内視鏡内科，消化器内科
394,消化器･循環器内科
395,膠原病内科
396,美容皮膚科，消化器内科
397,循環器内科，消化器内科，消化器外科，呼吸器内科，理学療法科，糖尿病内科，老人内科
398,消化器内科，呼吸器内科，循環器内科
399,漢方内科，漢方精神科，漢方･診療内科
400,アレルギー内科、消化器内科､漢方内科
401,糖尿病代謝内科，循環器内科，呼吸器内科，消化器内科
402,呼吸器内科，循環器内科，胃腸内科
403,呼吸器内科､循環器内科
404,乳腺外科，大腸肛門外科
405,消化器内科，循環器内科，乳腺外科
406,内分泌内科，循環器内科，消化器内科
407,肛門外科、矯正歯科、歯科口腔外科
408,循環器内科，心臓内科
409,消化器内科、胃腸内科、呼吸器内科、循環器内科
410,消化器内科，胃腸内科
411,美容皮フ科、美容内科
412,小児皮膚科，美容皮フ科，呼吸器内科，循環器内科
413,循環器内科，消化器内科，胃腸内科，呼吸器内科
414,循環器内科，胃腸内科
415,肛門外科，内分泌内科
416,循環器内科，呼吸器内科
417,呼吸器内科，循環器内科，消化器内科
418,消化器内科，内視鏡内科
419,食道外科
420,消化器内科，循環器内科
421,乳腺外科，消化器内科，肛門外科，老年内科，漢方内科
422,消化器内科，内視鏡内科，呼吸器内科，循環器内科
423,呼吸器内科，循環器内科
424,胃腸内科、乳腺・内分泌科、肛門外科
425,老年内科，消化器内科
426,消化器内科(内視鏡）
427,糖尿病・内分泌内科
428,小児内科
429,内科（ペインクリニック）
430,循環器内科，緩和ケア内科
431,肛門外科，肛門内科，胃腸内科
432,消化器内科，内視鏡内科，糖尿病内科
433,消化器内科，内視鏡内科，肝臓内科
434,循環器内科、呼吸器内科、消化器内科
435,糖尿病・内分泌内科、アレルギー疾患内科
436,呼吸器内科、腫瘍内科、消化器内科、循環器内科、疼痛緩和内科、糖尿病内科
437,呼吸器内科、循環器内科
438,呼吸器内科，消化器内科，循環器内科
439,循環器内科、呼吸器内科
440,小児歯科・歯科口腔外科
441,糖尿病内科，消化器内科，呼吸器内科，循環器内科
442,内科(循環器・消化器)
443,消化器内科・内視鏡内科・腎臓内科・人工透析内科
